,bathrooms,bedrooms,rooms_total,building_size,car_spaces,category,furnished,coordinates,location,land_size,price,id,subcategory,year_built,description,link
830,2.5,2,unknown,170,2,departamento,,"[-99.2,19.433333]","Polanco, Miguel Hidalgo",unknown,14000000,AP5F7B6D7540F6AMX,"[""departamento"",""departamentos""]",unknown,"VENTA HERMOSO DEPARTAMENTO SUPER OPORTUNIDAD CON TERRAZA EN POLANCO Departamento oportunidad de venta polanco $14,000,000 pesos Con terraza en el área social Magnifico edificio semi nuevo, excelente mantenimiento, seguridad y Con alberca en el roof garden con vista panoramica, Para inversionista se puede rentar en: $58,000 renta amueblado 170m2 2 o 3 recamaras 2.5 baños completos 2 estacionamientos independientes fijos y techados. Sala y comedor ampios con salida a la terraza Cocina abierta y equipada Area de lavanderia Cuarto de servicio Edificio con alberca y asoleadero Seguridad 24/7 Super ubicación. Lory sandoval",https://www.lamudi.com.mx/venta-hermoso-departamento-super-oportunidad-con-terraza-en-polanco.html
831,1,1,2,47,1,departamento,,"[-99.1456585,19.4342202]","Área 1, Cuauhtémoc",unknown,2750000,AP60497E70BB9EDMX,"[""departamento"",""departamentos""]",2021,"Excelente Departamento!!, Súper ubicado a media cuadra de la Alameda CentralUna Recámara Baño Cocina Integral Abierta  Barra Desayunador Área de LavadoUn Estacionamiento   Amenidades:2 Lobbies con Internet Inalámbrico gratuito,  Gym, Alberca, Roof Garden, Pista para Correr,  Salón Eventos con cocineta, Juegos Infantiles,  Cine, 3 Business centersSeguridad 24 horas. EasyBroker ID: EB-FE7003",https://www.lamudi.com.mx/centro-ciudad-de-mexico-puerta-alameda.html
832,2,2,4,62,1,departamento,,"[-99.15769,19.44883]","Santa Maria La Ribera, Cuauhtémoc",unknown,3534000,AP5D76BA85500AAMX,"[""departamento"",""departamentos""]",unknown,"Hermoso y Lujoso Departamento Conformado de 2 Recámaras, 2 Baños, 1 cajón de estacionamiento,124 m2 de Área Total Hortensia 84Es un desarrollo en PREVENTA ubicado en Santa María la Ribera. A sólo 20 minutos de Polanco y del Centro Histórico. Consta de 17 departamentos de 1 o 2 recamaras, piso de marmol. Balcón y/o Roof Garden Privado. Roof Garden Común con asador. ¡Los mejores acabados de la zona! Contamos con vigilancia 24 hrs y CCTV",https://www.lamudi.com.mx/ph3-hortensia-84.html
833,1,2,unknown,70,1,departamento,,"[-99.14446,19.38697]","Niños Héroes, Benito Juárez",unknown,1190388,AP61170DA225A74MX,"[""departamento"",""departamentos""]",unknown,"!! Gran oportunidad!!! Departamento con elevador, roof garden, salon de usos multiples, asador, vías principales cercanas como cumbres de maltrata, calzada de tlalpan, centros comerciales cercanos    ¡¡¡excelente oportunidad de inversión!!!  - pago unicamente de contado  - inmueble de recuperacion bancaria  - ahorro del 30% al 70% del valor real  - entrega 10 a 12 meses  - se firma ante notario  - entrega 100% garantizada o la devolucion integra de tu inversion  Asesoría gratis: l.c. Mireya rojas",https://www.lamudi.com.mx/aprovecha-lindo-departamento-en-la-benito-juarez.html
834,3,3,unknown,288,2,departamento,,"[-99.17733,19.39337]","Napoles, Benito Juárez",unknown,7600000,AP60F98F8316831MX,"[""departamento"",""departamentos""]",unknown,"Es un excelente departamento muy amplio 288m2 de 3 recamaras, principal con baño y vestidor, las otras dos recámaras con closets amplios, estudio o una cuarta recámara, amplia estancia de sala comedor, terraza y posibilidad de una segunda, tercer piso con elevador directo al departamento, 2 estacionamientos, área de lavado y cuarto de servicio, vigilancia las 24 horas. Muy iluminado, solo un departamento por piso.  Todos los servicios cerca, se encuentra sobre eje 5 en la lateral antes de subir al segundo piso, sin ruido por la ubicación estratégica del departamento, salidas rápidas a patriotismo, viaducto, periférico. La vista que tiene es a los árboles.  Av. Diagonal san antonio 158 departamento 301 previa cita.",https://www.lamudi.com.mx/amplitud-inigualable-288m2-3-rec-estudio-2-autos-area-lavado-y-cuarto-serv.html
835,2,3,unknown,149,2,departamento,,"[-99.19606,19.36547]","Merced Gómez, Álvaro Obregón",unknown,5500000,AP5D0545799807CMX,"[""departamento"",""departamentos""]",unknown,"Hermoso departamento, muy iluminado, con una buena ubicación ya que cuenta con avenidas como revolución y periférico, transporte público cerca, parques y centros comerciales. Este bellisimo departamento cuenta con:  Sala/comedor Cocina Recámaras 3 Baños 2 Estudio Cuarto de lavado Bodega Estacionamientos 2 Vigilancia las 24 hrs y cctv Con opción a cuarta recámara.",https://www.lamudi.com.mx/departamento-en-venta-colonia-merced-gomez-3-recamaras-odd-0221-1.html
836,4,4,8,272,3,departamento,,"[-99.2659429,19.3627702]","Santa Fe Cuajimalpa, Cuajimalpa de Morelos",unknown,12890000,AP606CB6E1D59F7MX,"[""departamento"",""departamentos""]",2013,"Departamento en venta o renta en Santa Fe en Cuajimalpa en Ciudad de México con 272 m2 de construcción.  En piso 16vo con vista espectacular, cuenta con 3 habitaciones (estudio que puede ser 4ta recamara), 3 y medio baños, amplia Sala-Comedor, Cocina con gran alacena, 3 lugares de estacionamiento. Edificio icónico de la zona cuenta con 2 albercas una abierta y la otra techada, spa, gym, salón de usos múltiples, ludoteca, juegos infantiles, cine, jardines, excelente seguridad, área de eventos, moderna recepción, estacionamiento para visitas. La mejor ubicación sobre Av. Carlos Lazo y cerca de Garden Santa Fe, Centro Comercial Santa Fe, Expo Santa Fe, Tec de Monterrey Santa Fe, Hospital ABC, Corporativos, Hoteles, Parques, todo queda a minutos. En renta más mantenimiento",https://www.lamudi.com.mx/departamento-en-venta-en-santa-fe-cuajimalpa-cuajimalpa-de-morelos-23.html
837,2,2,4,120,2,departamento,,"[-99.1662218,19.4046152]","Roma Sur, Cuauhtémoc",unknown,7550000,AP5F52F42341AADMX,"[""departamento"",""departamentos""]",2021,"TLACOTALPAN 89 Desarrollo inmobiliario localizado en uno de los barrios con mayor tradición de la Ciudad de México: Roma Sur. El desarrollo cuenta con 19 departamentos, muy bien distribuidos con dos lugares de estacionamiento cada uno. DEPARTAMENTO 101 Exterior Cuenta con: •2 Recámaras con baño integrado •2.5 Baños •Sala •Comedor •Patio •Estudio •Balcón •Cocina abierta •Área de lavado •2 Cajones de estacionamiento •Bodega •Roof garden común ÁREAS •120.24 m2 interiores •7.15 m2 de patio •13.70 m2 de balcón •141.09 m2 totales Entrega inmediata. EasyBroker ID: EB-FN3326",https://www.lamudi.com.mx/departamento-2-recamaras-en-roma-sur-cuauhtemoc-ciudad-de-mexico.html
838,2,3,3,116,0,departamento,,"[-99.1405355,19.3147407]","Pueblo de Santa Ursula Coapa, Coyoacán",unknown,4590000,AP60405015D84A9MX,"[""departamento"",""departamentos""]",2021,"¡¡HERMOSO DEPARTAMENTO EN BE GRAND COYOACÁN!!! CONSIGUE VIVIR EN UN DESARROLLO CON UBICACIÓN PRIVILEGIADA Y LOS MEJORES SERVICIOS  YA QUE CUENTA CON AMENIDADES PARA TODA LA FAMILIA Y MASCOTAS.  TIENE UNA HERMOSA VISTA E ILUMINACIÓN EN TODAS LOS ESPACIOS DEL DEPARTAMENTO .ES EL PRECIO MAS RENTABLE POR M2 EN LA ZONAPRECIO  DE VENTA $4,590,000 MXN >>> OPCIÓN A RENTA TAMBIÉN POR $17,500 MÁS MANTTO.UBICADO A PASOS DE CALZADA DE TLALPAN ,  A 5 MINUTOS DE DIVISIÓN DEL NORTE, EXCELENTE UBICACIÓN  YA QUE CUENTA CON TODOS LOS SERVICIOS, CENTROS COMERCIALES,  PARQUE ASTURIAS A 4 MIN, CENTROS DE SALUD  PRIVADOS, BANCOS, CAFETERÍAS, RESTAURANTES, ESCUELAS (UNIVERSIDAD DEL VALLE DE MÉXICO COYOACÁN),   CON EXCELENTES VÍAS DE ACCESO.PORQUE TÚ MERECES VIVIR EN UNA ZONA DE ALTA PLUSVALIA Y EN UNO DE LOS MEJORES DESARROLLOS ""BE GRAND COYOACAN"" CON AMENIDADES ÚNICAS EN LA ZONA: ALBERCA TECHADA CON CALEFACCIÓN, GIMNASIO, LUDOTECA, ZONA DE ASADORES, AMPLIAS ÁREAS VERDES CON JUEGOS PARA NIÑOS, CANCHA DE FUTBOL Y BASQUETBALL, ÁREA PARA MASCOTAS, SALÓN DE USOS MÚLTIPLES CONSTA DE:- 116.21 mts2 - Piso 5 - Todo el departamento está iluminado con excelente vista a áreas verdes - Cocina integral  con desayunador  - Cuarto de Lavado (con medio baño)  - Sala  - Comedor - Balcón - 3 recámaras con clóset - Recámara principal con un amplio vestidor y baño completo - 2 estacionamientos en piso e independientes  - Elevador por torre - Vigilancia 24/7 - Cámaras de vigilanciaAMENIDADES - Alberca techada - Chapoteadero - Cancha de Futbol y Basquetball - Zona de asadores - Jardín comunitario - Ludoteca - Salón de usos múltiples - Salón de fiestas - Gimnasio - Área para mascotasES UNA EXCELENTE OPORTUNIDAD SI ESTAS BUSCANDO UN LUGAR TRANQUILO, ILUMINADO Y ESPACIOSO PARA VIVIR.  ADEMAS DE CONTAR CON ESPACIOS ABIERTOS PARA TÍ Y TUS HIJOS.TRAMITAMOS TU CRÉDITO HIPOTECARIO SIN COSTO",https://www.lamudi.com.mx/lujoso-departamento-be-grand-coyoacan.html
839,1,2,0,66,2,departamento,,"[-99.1466584,19.3424055]","Atlántida, Coyoacán",unknown,4000620,AP60D174970EAD2MX,"[""departamento"",""departamentos""]",2021,"[VEN] ID HOUM: 34778Townhouses de dos niveles y departamentos.Cerca de todo. A pasos del Club Campestre, centros culturales, escuelas, universidades, teatros, museos, parques y jardines, restaurantes, centros comerciales y las más importantes avenidas. Cerca de tu vida, de tu trabajo, de tu familia. Cerca de todo. Características:-La mayoría con roof garden privado, patio ó balcón. -Cuarto de lavado. -1 o 2 estacionamientos. -Bodega. -Totalmente terminados. -Cubiertas de formaica en cocina. -Loseta cerámica en cocina y baños. -Piso laminado en sala, comedor y recámaras. -Roof garden común con baño. -Estacionamiento de bicicletas. -Control de CCTV en acceso principal. -Ahorradores de agua. -Focos ahorradores. -Calentadores de paso.",https://www.lamudi.com.mx/departamento-en-atlantida-2-habitaciones-100-0-m2.html
840,2,3,5,128,2,departamento,,"[-99.16079,19.34686]","Delegación Política Coyoacán, Coyoacán",unknown,6698000,AP60FA5FFD4FDFDMX,"[""departamento"",""departamentos""]",2021,"Departamentos en av universidad sala comedor   cocina integral 2 Lugares de Estacionamiento (Sin estorbarse con vecinos) 2 & 3 Recámaras recamara principal cuenta con vestidor y baño privado, 2.70 de AlturaÁreas verdes con juegos infantiles Doble filtro de seguridad 24/7 (3 Guardias por turno 24x24 & CTV) Vive seguro con áreas verdes & gimasio en tu casa Amenidades:· Gimnasio · Pet park  · Salón de usos múltiples · Áreas de descanso  · Jardínes · Bodegas informes  Edgar Suarez  5539660424 ***",https://www.lamudi.com.mx/departamento-en-venta-con-3-recamaras-en-coyoacan-a-mxn-6-698-000.html
841,2,3,5,90,2,departamento,,"[-99.167668,19.389164]","Del Valle, Benito Juárez",unknown,5370000,AP6100EB511B20BMX,"[""departamento"",""departamentos""]",2021,"Sobre Av. Amores, se encuentra en un área privilegiada por su alta actividad urbana, un punto que integra centros comerciales, colegios, entretenimiento y la modernidad de una colonia que renace y crece.Desarrollo nuevo de solo 15 departamentos, tu nuevo departamento cuenta con 3 amplias y confortables recámaras cuyos materiales son de primera calidad: pisos de duela de ingeniería, puertas de caobilla natural en color nogal, closets de piso a techo, cajoneras y área de colgado para largos; 2 baños completos con pisos y muros con mármol, canceles de cristal templado, llaves monomando y muebles de baño con espejo; cocina en concepto abierto con estufa y campana de acero inoxidable, doble tarja con llave monomando, cubierta y barra de granito; sala comedor con piso de mármol, muros con enduelado de concreto, todo esto enmarcado por la vista que te da su gran balcón.Tramitamos tu crédito sin costo.Informes y citas con Felipe Velázquez al 5548977670",https://www.lamudi.com.mx/departamento-en-venta-con-3-recamaras-en-del-valle-centro-a-mxn-5-370-000.html
842,2,2,unknown,121,2,departamento,,"[-99.20133,19.44313]","Ampliación Granada, Miguel Hidalgo",unknown,9200000,AP60341AF0A9856MX,"[""departamento"",""departamentos""]",unknown,"¡Viva la comodidad y vanguardia en una de las zonas más privilegiadas de la cdmx!! Sede de los mejores hoteles, restaurantes, bares, tiendas y recintos culturales como museos y galerías. Muy comunicado a diferentes vias de accseso como Circuito Interior y Periferico Norte - Sur.",https://www.lamudi.com.mx/departamento-en-venta-residencial-carso.html
843,2,3,5,101,3,departamento,,"[-99.1842595,19.3751629]","Mixcoac, Benito Juárez",unknown,4500000,AP609891DCD56CBMX,"[""departamento"",""departamentos""]",2005,"Departamento muy iluminado con balcón, es exterior consta de sala, comedor, cocina integral con barra, área de lavandería integrada, recamara principal con vestidor y baño cuenta con un balcón, recamara secundaria con closet y el baño afuera que también le da servicio al área social, estudio ideal para hacer home office o tercera recamara, tres lugares de estacionamiento en linea fijos, (dos techados y uno descubierto), El edificio cuenta con Roof garden, gimnasio y salón de eventos, bodega, vigilancia 24 hrs. Edificio de 5 niveles, son dos departamentos por piso. Excelente opción, no se pierda la oportunidad de conocerlo. EasyBroker ID: EB-HL9216",https://www.lamudi.com.mx/extraodinaria-ubicacion-mixcoac.html
844,2,2,4,57,1,departamento,,"[-99.298596,19.356727]","Cuajimalpa, Cuajimalpa de Morelos",unknown,2276400,AP602D6CA2C8A4DMX,"[""departamento"",""departamentos""]",unknown,"Bello Departamento conformado por: 2 Recámaras.2 Baño completo.Área de cocina.Área de lavado.Estancia.Comedor.También cuenta con: 57 m2 Habitables, 1.27 m2 de Balcón para 60 m2 Totales y 1 Garage(s)Urban CuajimalpaA 10 minutos de Santa Fe, este proyecto cuenta con áreas verdes y plazas libres de autos donde tus hijos podrán jugar tranquilamente.Ven y conoce nuestro departamento muestraEntrega inmediataPrivacidad y seguridad para tu familia",https://www.lamudi.com.mx/tipo-1-urban-cuajimalpa.html
845,3,3,6,295,3,departamento,,"[-99.2533303,19.3855147]","Bosques de las Lomas, Cuajimalpa de Morelos",unknown,14000000,AP60C9ADF06C1C2MX,"[""departamento"",""departamentos""]",2004,"Precioso departamento a la Venta  con muy buenos acabados,    en calle muy tranquila cerca del Pantalón,  Arcos Bosques y a 5 minutos de Santa Fe. Son 295m con espacios muy amplios. 3 recámaras con baño cada una, family, amplia estancia, cocina grande, baño de visitas, cuarto de servicio y lavado, bodega y 3 lugares de estacionamiento.  Cuenta con muy bonitas  amenidades como alberca, jardín con juegos, ludoteca, gtm, salón de fiestas, salón de juegos de adultos.  El residencial cuenta con estacionamiento de visitas. Vigilancia 24 hrs. EasyBroker ID: EB-HT0805",https://www.lamudi.com.mx/departamento-venta-privada-de-tamarindos-residencial-carrimon.html
846,2,2,0,84,1,departamento,,"[-99.1854275,19.3929636]","San Pedro de los Pinos, Benito Juárez",84,4440000,AP608CA0D96654AMX,"[""departamento"",""departamentos""]",2021,"[VEN] ID HM: 29944En Houm te lo hacemos más fácil y seguro. Los beneficios de comprar con nosotros: Te ayudamos a conseguir financiamiento a través de una asesoría personalizada. Mediación y seguimiento de todo el proceso. Te ayudamos a conseguir la documentación para el estudio de títulos. ¡Sólo te preocupas de las firmas!.Bonito departamento en venta con 84m2  Roof garden,  2 recamaras,  3 baños  cocina integrada cuarto de la vado  sala y comedor es un espacio muy amplio.El desarrollo cuenta con seguridad privada las 24 horas.Estacionamiento  Conserjería las 24 Horas.¡Comienza una nueva etapa en este departamento!.",https://www.lamudi.com.mx/departamento-en-san-pedro-de-los-pinos-2-habitaciones-84-0-m2.html
847,1,2,3,60,1,departamento,,"[-99.19123,19.44016]","Granada, Miguel Hidalgo",unknown,3650000,AP5FF5213C5E27FMX,"[""departamento"",""departamentos""]",2021,"Hermoso departamento en venta o renta amueblado, en una de las zonas  más elegantes y seguras de la colonia Granada.   Agradables espacios e iluminación.   Cuenta con 2 recamaras, 1 baño 1/2,  1 estacionamiento no fijo,  tiene una excelente ubicación alrededor de la zona. No pierda la oportunidad de adquirir está propiedad. Mantenimiento incluido. EasyBroker ID: EB-FQ0739",https://www.lamudi.com.mx/extraordinario-departamento-en-venta-o-renta-en-miguel-hidalgo.html
848,2,3,5,220,2,departamento,,"[-99.265393,19.3772502]","Lomas de Vista Hermosa, Cuajimalpa de Morelos",unknown,10700000,AP5D299AEA48415MX,"[""departamento"",""departamentos""]",2021,"Estrene departamento en Lomas de Vistahermosa con vista preciosa. Se entrega terminado con acabados de lujo. Cuenta con roof garden privado.  220m 3 recmaras, 2.5 baños, 2 autos, bodega, terraza.   Calle cerrada con vigilancia 24 hrs. EasyBroker ID: EB-DK7567",https://www.lamudi.com.mx/depto-venta-tlapexco-lomas-de-vista-hermosa-a-2-min-de-bosques-de-las-lomas.html
849,2,2,4,57,1,departamento,,"[-99.298596,19.356727]","Cuajimalpa, Cuajimalpa de Morelos",unknown,2407938,AP602D6CA4295FEMX,"[""departamento"",""departamentos""]",unknown,"Bello Departamento conformado por: 2 Recámaras.2 Baño completo.Área de cocina.Área de lavado.Estancia.Comedor.También cuenta con: 57 m2 Habitables, m2 de Balcón y 7.15 m2 de Patio para 66 m2 Totales y 1 Garage(s)Urban CuajimalpaA 10 minutos de Santa Fe, este proyecto cuenta con áreas verdes y plazas libres de autos donde tus hijos podrán jugar tranquilamente.Ven y conoce nuestro departamento muestraEntrega inmediataPrivacidad y seguridad para tu familia",https://www.lamudi.com.mx/tipo-4-urban-cuajimalpa.html
850,2,3,unknown,137,1,departamento,,"[-99.1607839,19.3733598]","Santa Cruz Atoyac, Benito Juárez",unknown,3200000,AP5FA03724050DCMX,"[""departamento"",""departamentos""]",unknown,"Vendo departamento totalmente remodelado en 3er piso, 137 m2 en totalidad 90m2 habitables, muy iluminado cuenta con tres recamaras amplios clóset cada una, la principal con su baño, clóset de blancos, sala comedor con ventanal, vestíbulo y pasillo de distribución, cocina integral, alacena, clóset para visitas y clóset de blancos, dos baños completos. Cuenta con cuarto de servicio y una jaula de tendido en la azotea, así como también un cajón de estacionamiento fijo y ubicado en el sótano. Su orientación es externa, es decir, tiene vista a la calle. Tiene una excelente ubicación, cerca de supermercados, plazas comerciales, parques, escuelas y avenidas principales. El condominio cuenta con portón eléctrico con control remoto y una persona de mantenimiento fijo. Citas e informes",https://www.lamudi.com.mx/vendo-departamento-3-recamaras-av-cuauhtemoc-col-del-valle.html
851,3,2,5,115,2,departamento,,"[-99.2913686,19.3536628]","Cuajimalpa, Cuajimalpa de Morelos",unknown,4550000,AP6008E6B7A9748MX,"[""departamento"",""departamentos""]",2021,"Departamento en venta cerca de Santa fe.Acabados de lujo2 plantasPrimer nivel: Cocina,sala y comedor con persianas, 2 amplias recamaras con closet y persianas (black out y filtrasol),2 baños.Segundo nivel: Roof garden con sala de tv o estudio con pergolado de acero y cristal templado.Amplia terraza abierta con muro verde, asador y tarja.Cuarto de servicio y baño completo.Video de inmueblehttps://www.youtube.com/watch?v=GDc3Ldir-jw&feature=youtu.be. EasyBroker ID: EB-GN5875",https://www.lamudi.com.mx/town-house-en-venta-en-cuajimalpa.html
852,2,2,unknown,65,2,departamento,,"[-99.136,19.3653]","Portales, Benito Juárez",unknown,3110000,AP60C7DD3CDD077MX,"[""departamento"",""departamentos""]",unknown,"Descripción: departamento en venta ENTREGA INMEDIATA de 65/73m2, 2 recámaras, 2 baños, 1/2 estacionamientos, salón social, terraza. Ubicado en la colonia portales, en la alcaldía benito juárez se encuentra el desarrollo zapata 174. Se puede acceder a este por 3 vías principales como av. División del norte, av. Río churubusco y calzada de tlalpan. El metro más cercano es eje central. A 4 cuadras de alberca olímpica francisco márquez y gimnasio olímpico juan de la barrera, y a 3 cuadras de parque de los venados, a unos minutos de la cineteca nacional de méxico, museo casa de león trotsky, museo frida kahlo, museo nacional de las intervenciones, plaza universidad, patio universidad, centro coyoacán, hospital general xoco, hospital san ángel inn universidad, además de estar rodeado de colegios, hospitales, supermercados, etc. Todo para tu comodidad y la de tu familia. Ideal para personas que trabajan en benito juárez, cuauhtémoc y la zona sur de la cdmx. Mes de agosto, aprovecha la jornada notarial para escriturar.",https://www.lamudi.com.mx/departamento-en-venta-zapata-174-portales-entrega-inmediata.html
853,2,2,unknown,62,1,departamento,,"[-99.17931,19.40067]","Escandón I Sección, Miguel Hidalgo",unknown,3635000,AP60C7B24C08E3BMX,"[""departamento"",""departamentos""]",unknown,"Departamento en PREventa de. De 62/71 m2, 2 recámaras, 2 baños, 1 cajón de estacionamiento y salón social. ubicado en la colonia escandón, en la alcaldía miguel hidalgo se encuentra el desarrollo prosperidad 42, vive cerca de la condesa, roma y nápoles. Se puede acceder a este por 4 vías principales como av. Revolución, av. Benjamín franklin, viaducto miguel alemán y av. Insurgentes sur. El metro más cercano es patriotismo y metrobús escandón. A unos minutos de wtc, plaza dakota, plaza insurgentes, bosque de chapultepec, parque lira, parque méxico, parque españa, hospital escandón, hospital ángeles méxico, hospital dalinde, hospital infantil privado star médica, universidad la salle benjamín franklin, universidad de londres, ebc, supermercados, etc. Todo para tu comodidad y la de tu familia. Ideal para personas que trabajan en benito juárez, cuauhtémoc y el poniente de la cdmx. entrega en MARZO 2022",https://www.lamudi.com.mx/departamentos-en-preventa-escandon.html
854,1,2,unknown,60,0,departamento,,"[-99.176904937541,19.499968641927]","Santa Bárbara, Azcapotzalco",unknown,1250000,AP60AFE9AB29318MX,"[""departamento"",""departamentos""]",unknown,"Apartamento de dos recámaras, sala-comedor, cocina, baño y zotehuela  Cerca de universidad metropolitana, deportivo reynosa, alameda norte y el tecnoparque.  Detalle sin estacionamiento,  Cualquier crédito,",https://www.lamudi.com.mx/atencion-deportistas-apartamento-dos-recamaras-cerca-alameda-norte.html
855,1,1,2,41,unknown,departamento,,"[-99.1652228,19.3788916]","Del Valle, Benito Juárez",unknown,2195000,AP60ED402B89410MX,"[""departamento"",""departamentos""]",1970,"¿Te encantaría encontrar el departamento de tus sueños?¿Quieres un hogar amplio, tranquilo, moderno y luminoso?Exclusivo departamento calidad Clikalia: propiedad certificada con acabados de lujo a precio competitivo.En Clikalia tenemos la mejor opción para ti, un departamento lleno de paz, donde podrás vivir cómodamente. La hermosa propiedad se encuentra en la calle de Aniceto Ortega 836, colonia Del Valle Centro, alcaldía Benito Juárez. Ven a conocer el hogar de tus sueños tiene una superficie de construcción de 41 m2.La propiedad cuenta con excelente iluminación y distribución de espacios, estancia-comedor, cocina integral, 1 recámara y 1 baño completo. La comodidad que estabas buscando está aquí. Cerca de la zona encontrarás áreas verdes, así como restaurantes, centros comerciales y medios de transporte. Goza de un lugar muy tranquilo para vivir.Agenda tu visita hoy, encuentra los precios más competitivos. Estrena ¡ya!Recuerda que con Clikalia -No tendrás que pagar comisiones ni honorarios - Te brindaremos asesoría legal y crediticia - Certificado por Clikalia - Contarás con atención personalizada en todo momento****Las imágenes que aquí se muestran son de carácter ilustrativo****. EasyBroker ID: EB-HY8707",https://www.lamudi.com.mx/grandioso-departamento-en-aniceto-ortega-del-valle-centro.html
856,2,2,unknown,100,2,departamento,,"[-99.30477,19.36489]","Jesus Del Monte, Cuajimalpa de Morelos",unknown,2950000,AP6053F0C9B37D4MX,"[""departamento"",""departamentos""]",unknown,"Hermosos departamento con una increible vista ubicado en un 5to piso, en la torre 2. Mide 100 mts2. Tiene 2 recamaras, la principal con baño completo, muy amplia con espacio para oficina o sala de tv, 2 baños completos, 2 lugares de estacionamiento (un auto atrás de otro), independientes de otros vecinos, sala, comedor, cocina integral, área de lavado con ventilación natural. Todas las recamaras con amplias ventanas. Vigilancia 24/7. Salón de usos múltiples. Juegos infantiles .áreas verdes. Pista de jogging. Elevador. Se entrega con chapa eléctrica y manual, y recién pintado. El costo de mantenimiento es de $2,000. El desarrollo tiene 5 torres y 9 pisos por torre.",https://www.lamudi.com.mx/departamento-en-venta-cuajimalpa-jesus-del-monte.html
857,2,2,4,97,2,departamento,,"[-99.2880597,19.3631419]","Cuajimalpa, Cuajimalpa de Morelos",unknown,2450000,AP60F018D0A4EB2MX,"[""departamento"",""departamentos""]",2021,"Excelente oportunidad en Cuajimalpa  Iluminado , buenísima distribución  Cerca de Santa Fe.  Seguridad 24 horas  100 metros muy bien distribuidos  2 recamaras muy amplias con closet bonita vista y muy  iluminadas  Cálido y acogedor  2 baños completos Cocina  Sala  Comedor  Amplia area  de lavado  1 estacionamiento  Seguridad 24 horas. EasyBroker ID: EB-HZ2648",https://www.lamudi.com.mx/departamento-en-venta-en-cuajimalpa-baja-de-precio.html
858,2,2,4,49,1,departamento,,"[-99.172012,19.443405]","Anahuac I Sección, Miguel Hidalgo",unknown,1800000,AP606CB56F4686BMX,"[""departamento"",""departamentos""]",2011,"Departamento en venta de 49 m2. Esta en un segundo piso Cuenta con 2 recamaras una con closet tipo vestidor la otra con pequeño closet, sala, comedor, cocina con estufa eléctrica y tarja, 1 baño, área de tendido en azotea y 1 estacionamiento con elevador. El edificio cuenta con elevadores, roof garden y vigilancia las 24 horas. Cerca de la torre de PEMEX, marina nacional, escuelas y centros comerciales.",https://www.lamudi.com.mx/departamento-en-venta-en-anahuac-i-seccion-miguel-hidalgo-23.html
859,2,2,4,80,0,departamento,,"[-99.239045,19.334334]","Olivar de los Padres, Álvaro Obregón",unknown,4045435,AP5FA04FBCA2593MX,"[""departamento"",""departamentos""]",unknown,"Hermoso y Lujoso Departamento Conformado de 2 Recámaras, 2 Baños, 79.55 m2 de Área Habitable, 9.45 m2 de Balcón, para una superficie total de 89 m2 Cittá San JerónimoCittá San Jerónimo está ubicado en un punto estratégico del sur de la Ciudad de México; diseñado por el reconocido despacho de arquitectura Serrano Monjaraz el cual desarrolla un total de 6 torres . Entrega Inmediata. A 10 minutos de Santa Fe, a 10 minutos de San Jerónimo. El único desarrollo con accesos a Supervía a menos de 50 metros en ambos sentidos. Departamentos desde 60 m2 hasta 125 m2. Con disponibilidad desde 1, 2 y hasta 3 recamaras y amenidades de primer nivel como alberca, sauna, vapor, gimnasio, jogging track, billar, múltiples jardines y salón de eventos.",https://www.lamudi.com.mx/b3-citta-san-jeronimo.html
860,2,2,unknown,87.5,2,departamento,,"[-99.164402,19.30595]","Pedregal de Carrasco, Coyoacán",unknown,4117545,AP5B5B5027E7075MX,"[""departamento"",""departamentos""]",unknown,"Departamento de 87.5 metros cuadrados con dos recámaras, vestidor, dos baños y cuarto de lavado.Desde $ 4,117,545.00HIGH PARK SUR HIGH PARK SUR SÓLO EN MARZO 5 DEPARTAMENTOS DE ENTREGA INMEDIATA CON DESCUENTO DE MÁS DE $490,000 ¡VÍVELO AHORA!ENTREGA INMEDIATA DEPARTAMENTOS DESDE $ 3,254,000.00** RESERVALO CON $50,000 HIGH PARK SUR Residences, una vida privilegiada. Descubre el nuevo skyline de la zona sur de la ciudad. Conoce un desarrollo único y exclusivo que define la nueva forma de vivir sur de la ciudad, 32 niveles de lujo, con amenidades que alcanzan los mayores niveles de exigencia departamentos desde 72 hasta 145 m2 Cuanta con Amenidades que superan las máximas expectativas. Ubicadas en Torre Olivo: Looby Game roomGgym Kids room Spa m&w Swimming pool Sundeck Torre Laurel Meeting room Event hall Bussines center Cinema Exteriores: Playground Bbq grill Padel court Pets zone Jogging track Green field Desarrollo Vertical en Dos Torres VISÍTALO Blvd. Adolfo Ruiz Cortinez 5550, Lote IV, Pedregal de Carrasco C.P. O4700, Coyoacán, México, D.F. *Aplican restricciones **Incluye descuento ***Los meses pueden variar",https://www.lamudi.com.mx/departamento-de-87-5-m2-high-park-sur-residences.html
