|id|precio_m2|precio|moneda|precio_MXN|mantenimiento|superficie_total|superficie_cubierta|colonia|alcaldia|direccion|dormitorios|baños|cocheras|anunciante|url|google_src|lat|lng
273|273|47549.01960784314|4850000|4850000|N/A||102.0|102.0| Ampliación Nápoles| Benito Juárez|Eugenia,  Ampliación Nápoles, Benito Juárez|3.0|2.0|2.0|CGC BIENES RAICES|https://www.inmuebles24.com/propiedades/increible-departamento-cerca-del-wtc-61862867.html|//maps.google.com/maps/api/staticmap?center=19.388967099999998,-99.175261699999992&zoom=16&markers=19.388967099999998,-99.175261699999992&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=NlCpDBT4FMwJG_1L5_jnuNg_rTc=&channel=rpfic-i24|19.3889671|-99.1752617
274|274|69491.52542372882|8200000|8200000|N/A|3000.0|118.0|118.0| Ampliación Granada| Miguel Hidalgo|Lago Zurich 96,  Ampliación Granada, Miguel Hidalgo|2.0|2.0|2.0|D´CASA Inmobiliaria|https://www.inmuebles24.com/propiedades/plaza-carso-polanco-torre-renoir-2-recamaras-50520320.html|//maps.google.com/maps/api/staticmap?center=19.442392800000000,-99.202409399999960&zoom=16&markers=19.442392800000000,-99.202409399999960&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=YEzy6mumSV2Rd3uF1-oXF3UgFc8=&channel=rpfic-i24|19.4423928|-99.20240939999996
275|275|64383.561643835616|9400000|9400000|N/A||146.0|206.0| San Jerónimo Lídice| La Magdalena Contreras|OCOTEPEC,  San Jerónimo Lídice, La Magdalena Contreras|4.0|5.0|4.0|NEW GENERATION OF REAL ESTATE|https://www.inmuebles24.com/propiedades/san-jeronimo-58920700.html|//maps.google.com/maps/api/staticmap?center=19.327478400000000,-99.228451500000005&zoom=16&markers=19.327478400000000,-99.228451500000005&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=j1xo46IM12vud2Aqt2sPG4MWq-U=&channel=rpfic-i24|19.3274784|-99.2284515
276|276|41139.237341772154|12999999|12999999|N/A|11000.0|316.0|316.0| Bosque de las Lomas| Miguel Hidalgo|Baja Precio Residencial Bosque Alto Departamento con Terraza en Venta (mc),  Bosque de las Lomas, Miguel Hidalgo|3.0|3.0|3.0|Diamond House Bienes Raices|https://www.inmuebles24.com/propiedades/baja-precio-residencial-bosque-alto-departamento-con-61324404.html|//maps.google.com/maps/api/staticmap?center=19.392024831899998,-99.265059575099996&zoom=16&markers=19.392024831899998,-99.265059575099996&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=69ldSp8KCt3ncvqJH2iNwJRnV3A=&channel=rpfic-i24|19.3920248319|-99.2650595751
277|277|55625.0|4450000|4450000|N/A|2200.0|80.0|80.0| Anáhuac I Sección| Miguel Hidalgo|Laguna de Mayran,  Anáhuac I Sección, Miguel Hidalgo|2.0|2.0|2.0|9 SQUARE REAL STATE|https://www.inmuebles24.com/propiedades/departamento-en-venta-colonia-anahuac-60144790.html|//maps.google.com/maps/api/staticmap?center=19.440181400000000,-99.177056899999996&zoom=16&markers=19.440181400000000,-99.177056899999996&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=-t5dB5Gl8w659I4mS_MZOXs1L98=&channel=rpfic-i24|19.4401814|-99.1770569
278|278|4385.964912280701|1250000|24750000.0|N/A|7400.0|285.0|285.0| Bosques de Chapultepec| Miguel Hidalgo|Campos Eliseos,  Bosques de Chapultepec, Miguel Hidalgo|3.0|3.0|2.0|HÁBITAT SI |https://www.inmuebles24.com/propiedades/departamento-en-venta-en-polanco-61514424.html|//maps.google.com/maps/api/staticmap?center=19.428591099999998,-99.191554199999998&zoom=16&markers=19.428591099999998,-99.191554199999998&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=tfAuliFksS0HaPh8MVoYsvCDZls=&channel=rpfic-i24|19.4285911|-99.1915542
279|279|58730.15873015873|3700000|3700000|N/A|2200.0|63.0|63.0| Santa Fe| Alvaro Obregón|Prol. Paseo de la Reforma,  Santa Fe, Alvaro Obregón|2.0|2.0|1.0|CGC BIENES RAICES|https://www.inmuebles24.com/propiedades/vive-con-comodidad-seguridad-y-todo-lo-que-necesitas-61930883.html|//maps.google.com/maps/api/staticmap?center=19.379122299999998,-99.253967700000004&zoom=16&markers=19.379122299999998,-99.253967700000004&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=1a6Zwi6BMAv7YFpVdqW9GwT1tqk=&channel=rpfic-i24|19.3791223|-99.2539677
280|280|21810.250817884407|20000000|20000000|N/A||917.0|655.0| Club de Golf México| Tlalpan|San Buenaventura,  Club de Golf México, Tlalpan|3.0|3.0|5.0|HÁBITAT SI |https://www.inmuebles24.com/propiedades/casa-en-venta-en-club-de-golf-mexico-61616795.html|//maps.google.com/maps/api/staticmap?center=19.281605800000001,-99.161059899999997&zoom=16&markers=19.281605800000001,-99.161059899999997&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=foVQJFzjue7-4ZwktQcxm78KLZg=&channel=rpfic-i24|19.2816058|-99.1610599
281|281|108938.54748603352|39000000|39000000|N/A|17000.0|358.0|358.0| Lomas de Chapultepec| Miguel Hidalgo|Residencial Lomas Departamento en Venta , Lomas de Chapultepec  (gr),  Lomas de Chapultepec, Miguel Hidalgo|3.0|3.0|4.0|Diamond House Bienes Raices|https://www.inmuebles24.com/propiedades/residencial-lomas-departamento-en-venta-lomas-de-61853052.html|//maps.google.com/maps/api/staticmap?center=19.433700105500001,-99.187136399999999&zoom=16&markers=19.433700105500001,-99.187136399999999&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=U3sMHiLg3gL1Qw6useV1xa8jpKA=&channel=rpfic-i24|19.4337001055|-99.18713640000001
282|282|53333.333333333336|4000000|4000000|N/A||75.0|75.0| Condesa| Cuauhtémoc|Tamaulipas,  Condesa, Cuauhtémoc|2.0|2.0|2.0|Raices|https://www.inmuebles24.com/propiedades/departamento-en-venta-en-la-condesa-calle-tamaulipas-61552760.html|//maps.google.com/maps/api/staticmap?center=19.407558503144582,-99.177889406915260&zoom=16&markers=19.407558503144582,-99.177889406915260&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=8iP6UI-GN-_ctlkvcBnUOq0Sjdg=&channel=rpfic-i24|19.407558503144585|-99.17788940691527
283|283|60948.081264108354|27000000|27000000|N/A||443.0|800.0| Jardines en la Montaña| Tlalpan|Av. Paseo del Pedregal,  Jardines en la Montaña, Tlalpan|4.0|4.0|4.0|CGC BIENES RAICES|https://www.inmuebles24.com/propiedades/tranquilidad-y-plenitud-en-jardines-en-la-montana-60885781.html|//maps.google.com/maps/api/staticmap?center=19.297754000000001,-99.201388399999999&zoom=16&markers=19.297754000000001,-99.201388399999999&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=H97DID61L7h3sjikwVhDo9QfjAI=&channel=rpfic-i24|19.297754|-99.20138840000001
284|284|55769.230769230766|14500000|14500000|N/A||260.0|260.0| Polanco| Miguel Hidalgo|Se Vende Bonito Departamento en Calle Shiller-polanco,  Polanco, Miguel Hidalgo|4.0|3.0||Terramar Consultores Inmobiliarios del Pacifico|https://www.inmuebles24.com/propiedades/se-vende-bonito-departamento-en-calle-shiller-56087659.html|//maps.google.com/maps/api/staticmap?center=19.433183599999999,-99.186366399999997&zoom=16&markers=19.433183599999999,-99.186366399999997&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=T1nQjLMrjp5IMr9wG6I-AQl81ks=&channel=rpfic-i24|19.4331836|-99.1863664
285|285|68181.81818181818|15000000|15000000|N/A||220.0|220.0| Ampliación Granada| Miguel Hidalgo|Lago Zurich 245,  Ampliación Granada, Miguel Hidalgo|3.0|3.0|2.0|D´CASA Inmobiliaria|https://www.inmuebles24.com/propiedades/plaza-carso-torre-monet-acceso-directo-al-centro-61244347.html|//maps.google.com/maps/api/staticmap?center=19.441681600000000,-99.203794600000000&zoom=16&markers=19.441681600000000,-99.203794600000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=gZgNHvpCF1GhrMOEuV3Kg0PHUw8=&channel=rpfic-i24|19.4416816|-99.2037946
286|286|2926.829268292683|1200000|23760000.0|N/A|19000.0|410.0|410.0| Lomas del Chamizal| Cuajimalpa de Morelos|Bosques de reforma,  Lomas del Chamizal, Cuajimalpa de Morelos|3.0|3.0|4.0|TERRABROKERS|https://www.inmuebles24.com/propiedades/divino-depto-en-reforma-laureles-con-muebles-incluidos-60919279.html|//maps.google.com/maps/api/staticmap?center=19.390330999999999,-99.259809700000005&zoom=16&markers=19.390330999999999,-99.259809700000005&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=DqZnJwmI_Y-uzmlEDUbW5c6zRZ0=&channel=rpfic-i24|19.390331|-99.2598097
287|287|5955.555555555556|1608000|31838400.0|N/A||270.0|210.0| Polanco III Sección| Miguel Hidalgo|Polanco, Goldsmith 222 PH 1, Polanco,  Polanco III Sección, Miguel Hidalgo|3.0|3.0|3.0|Diamond House Bienes Raices|https://www.inmuebles24.com/propiedades/polanco-goldsmith-222-ph-1-polanco-61844823.html|//maps.google.com/maps/api/staticmap?center=19.435176500000000,-99.200454100000001&zoom=16&markers=19.435176500000000,-99.200454100000001&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=IVLTdFiM74WYrVwPKjyS6QUSPu4=&channel=rpfic-i24|19.4351765|-99.2004541
288|288||4980000|4980000|N/A||||Cuauhtémoc| Cuauhtémoc|RIO GUADALQUIVIR , Cuauhtémoc, Cuauhtémoc||||Punto Destino|https://www.inmuebles24.com/propiedades/rio-guadalquivir-16-col.-cuauhtemoc-61788250.html|//maps.google.com/maps/api/staticmap?center=19.431440400000000,-99.171527000000000&zoom=16&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=FvS0SwOafzxMyEUdcDKNyDLZT7g=&channel=rpfic-i24|19.4314404|-99.171527
289|289||2790000|2790000|N/A||||Juárez| Cuauhtémoc|Nápoles 76, Juárez, Cuauhtémoc||||AGM DESARROLLADORES|https://www.inmuebles24.com/propiedades/napoles-76-colonia-juarez-preventa-60708531.html|//maps.google.com/maps/api/staticmap?center=19.425279900000000,-99.159042400000000&zoom=16&markers=19.425279900000000,-99.159042400000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=FphD8rdopjSJ0eHB4h_Nk59d2O8=&channel=rpfic-i24|19.4252799|-99.1590424
290|290||3999000|3999000|N/A||||Cuauhtémoc| Cuauhtémoc|RIO RHIN 9, Cuauhtémoc, Cuauhtémoc||||TuDepa.com|https://www.inmuebles24.com/propiedades/pre-venta-tu-depa-ideal-colonia-cuauhtemoc-rio-rhin-9-59592762.html|//maps.google.com/maps/api/staticmap?center=19.433356500000000,-99.166206500000000&zoom=16&markers=19.433356500000000,-99.166206500000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=Khghw9QOpAw4M6fjFDLzroT66A8=&channel=rpfic-i24|19.4333565|-99.1662065
291|291||4375836|4375836|N/A||||Narvarte Poniente| Benito Juárez|Av. Cuauhtémoc, Narvarte Poniente, Benito Juárez||||BOS CORRETAJE|https://www.inmuebles24.com/propiedades/vitta-cuauhtemoc-60682117.html|//maps.google.com/maps/api/staticmap?center=19.397111857373197,-99.155898039147930&zoom=16&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=MBz7XMjfvcLhNZwMTYPXW7Xj1a8=&channel=rpfic-i24|19.3971118573732|-99.15589803914791
292|292||6054040|6054040|N/A||||Letrán Valle| Benito Juárez|José María Vertiz , Col. Letrán Valle, Alcaldía  Benito Juárez, C.P. , Ciudad de México, Letrán Valle, Benito Juárez||||SKY HAUS|https://www.inmuebles24.com/propiedades/skyhaus-vertiz-61842939.html|//maps.google.com/maps/api/staticmap?center=19.374577100000000,-99.153939400000000&zoom=16&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=bLiXbaiIXKexWVQaFuxOGNKMal0=&channel=rpfic-i24|19.3745771|-99.1539394
293|293|43636.36363636364|12000000|12000000|N/A|3000.0|275.0|275.0| Polanco I Sección| Miguel Hidalgo|Jaime Balmes Depto Para  Remodelar con Balcon en Venta, Polanco (gr),  Polanco I Sección, Miguel Hidalgo|3.0|3.0|2.0|Diamond House Bienes Raices|https://www.inmuebles24.com/propiedades/jaime-balmes-depto-para-remodelar-con-balcon-en-venta-61324391.html|//maps.google.com/maps/api/staticmap?center=19.436910099999998,-99.210145800000006&zoom=16&markers=19.436910099999998,-99.210145800000006&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=LtBfyK9NKGYe_83fW7ZWMzrebmE=&channel=rpfic-i24|19.4369101|-99.2101458
294|294|38286.71328671329|10950000|10950000|N/A|7500.0|286.0|286.0| Lomas de Vista Hermosa| Cuajimalpa de Morelos|Residencial Atrium, Departamento en Venta, Lomas de Vista Hermosa (vm),  Lomas de Vista Hermosa, Cuajimalpa de Morelos|3.0|3.0|2.0|Diamond House Bienes Raices|https://www.inmuebles24.com/propiedades/residencial-atrium-departamento-en-venta-lomas-de-61324386.html|//maps.google.com/maps/api/staticmap?center=19.380536400000000,-99.265338799999994&zoom=16&markers=19.380536400000000,-99.265338799999994&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=rwP574yhIKoa00vpx11hXiv9tDE=&channel=rpfic-i24|19.3805364|-99.2653388
295|295|60000.0|13500000|13500000|N/A|8800.0|225.0|225.0| Santa Fe| Alvaro Obregón|¡oportunidad Baja Precio DE Venta Departamento en Cumbres Santa Fe Cañada (ao),  Santa Fe, Alvaro Obregón|3.0|3.0|4.0|Diamond House Bienes Raices|https://www.inmuebles24.com/propiedades/-oportunidad-baja-precio-de-venta-departamento-en-61967267.html|//maps.google.com/maps/api/staticmap?center=19.359250200000001,-99.258793199999999&zoom=16&markers=19.359250200000001,-99.258793199999999&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=do71nWa3loOJmletfJ1l6P4L_tI=&channel=rpfic-i24|19.3592502|-99.25879320000001
296|296|44989.77505112474|22000000|22000000|N/A|2200.0|489.0|508.0| Parque del Pedregal| Tlalpan|Rinconada del pedregal,  Parque del Pedregal, Tlalpan|4.0|4.0|4.0|HÁBITAT SI |https://www.inmuebles24.com/propiedades/casa-en-venta-en-parques-del-pedregal-61507744.html|//maps.google.com/maps/api/staticmap?center=19.300096100000001,-99.191981900000001&zoom=16&markers=19.300096100000001,-99.191981900000001&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=7vyBxe1Wtrf17cIELxvEmyhdfnk=&channel=rpfic-i24|19.3000961|-99.1919819
297|297|49211.95652173913|9055000|9055000|N/A|3500.0|184.0|184.0| Cuauhtémoc| Cuauhtémoc|Michoacán,  Cuauhtémoc, Cuauhtémoc|3.0|2.0|1.0|HÁBITAT SI |https://www.inmuebles24.com/propiedades/departamento-en-venta-hipodromo-condesa-61268871.html|//maps.google.com/maps/api/staticmap?center=19.411416899999998,-99.173940500000000&zoom=16&markers=19.411416899999998,-99.173940500000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=pqRD5fai8pYDfbTlidEu3INVwIU=&channel=rpfic-i24|19.4114169|-99.1739405
298|298|50595.23809523809|4250000|4250000|N/A|1300.0|84.0|84.0| Del Valle Centro| Benito Juárez|Pedro romero de Terreros,  Del Valle Centro, Benito Juárez|3.0|2.0|2.0|HÁBITAT SI |https://www.inmuebles24.com/propiedades/departamento-en-venta-en-la-colonia-del-valle-60963164.html|//maps.google.com/maps/api/staticmap?center=19.394906800000001,-99.166265699999996&zoom=16&markers=19.394906800000001,-99.166265699999996&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=P_Xb4gqPeA3w8kxu_xB9djFG5K4=&channel=rpfic-i24|19.3949068|-99.1662657
299|299|50335.57046979866|7500000|7500000|N/A|3500.0|149.0|149.0| Bosques de las Lomas| Cuajimalpa de Morelos|Bosques del as Lomas Departamento a la Venta en Paseo de Tamarindos (sl),  Bosques de las Lomas, Cuajimalpa de Morelos|3.0|3.0|2.0|Diamond House Bienes Raices|https://www.inmuebles24.com/propiedades/bosques-del-as-lomas-departamento-a-la-venta-en-paseo-61967247.html|//maps.google.com/maps/api/staticmap?center=19.387534699999999,-99.252068100000002&zoom=16&markers=19.387534699999999,-99.252068100000002&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=kzJ3RzXMIGHaZzZowv7xIN0A198=&channel=rpfic-i24|19.3875347|-99.2520681
300|300|3225.8064516129034|1400000|27720000.0|N/A||434.0|530.0| Contadero| Cuajimalpa de Morelos|Arteaga y Salazar ,  Contadero, Cuajimalpa de Morelos|4.0|4.0|4.0|ESTUDIO.inmobiliario|https://www.inmuebles24.com/propiedades/vendo-casa-contadero-57855335.html|//maps.google.com/maps/api/staticmap?center=19.348349255988296,-99.289326715899620&zoom=16&markers=19.348349255988296,-99.289326715899620&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=nQWAnaIKaFIyh28b-TS-HcBf2-s=&channel=rpfic-i24|19.348349255988296|-99.28932671589962
301|301|5955.555555555556|1608000|31838400.0|N/A||270.0|210.0| Polanco III Sección| Miguel Hidalgo|Polanco, Goldsmith 222 PH 1, Polanco,  Polanco III Sección, Miguel Hidalgo|3.0|3.0|3.0|Diamond House Bienes Raices|https://www.inmuebles24.com/propiedades/polanco-goldsmith-222-ph-1-polanco-61844823.html|//maps.google.com/maps/api/staticmap?center=19.435176500000000,-99.200454100000001&zoom=16&markers=19.435176500000000,-99.200454100000001&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=IVLTdFiM74WYrVwPKjyS6QUSPu4=&channel=rpfic-i24|19.4351765|-99.2004541
302|302|80508.47457627118|9500000|9500000|N/A|3800.0|118.0|118.0| Ampliación Granada| Miguel Hidalgo|Lago Zurich 245,  Ampliación Granada, Miguel Hidalgo|3.0|2.0|2.0|D´CASA Inmobiliaria|https://www.inmuebles24.com/propiedades/plaza-carso-polanco-departamento-3-recamaras-monet-50521171.html|//maps.google.com/maps/api/staticmap?center=19.441793800000000,-99.203885399999990&zoom=16&markers=19.441793800000000,-99.203885399999990&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=u0S6uuyf3ruh4Ie0dwVqLKWTbo4=&channel=rpfic-i24|19.4417938|-99.2038854
303|303|108938.54748603352|39000000|39000000|N/A|17000.0|358.0|358.0| Lomas de Chapultepec| Miguel Hidalgo|Residencial Lomas Departamento en Venta , Lomas de Chapultepec  (gr),  Lomas de Chapultepec, Miguel Hidalgo|3.0|3.0|4.0|Diamond House Bienes Raices|https://www.inmuebles24.com/propiedades/residencial-lomas-departamento-en-venta-lomas-de-61853052.html|//maps.google.com/maps/api/staticmap?center=19.433700105500001,-99.187136399999999&zoom=16&markers=19.433700105500001,-99.187136399999999&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=U3sMHiLg3gL1Qw6useV1xa8jpKA=&channel=rpfic-i24|19.4337001055|-99.18713640000001
304|304|29048.780487804877|1191000|1191000|N/A||41.0|41.0| Tlaxpana| Miguel Hidalgo|Quetzalcoatl,  Tlaxpana, Miguel Hidalgo|1.0|1.0||Mint Inmobiliaria|https://www.inmuebles24.com/propiedades/anahuac-departamentos-venta-d7-59721884.html|//maps.google.com/maps/api/staticmap?center=19.440893100000000,-99.168390700000003&zoom=16&markers=19.440893100000000,-99.168390700000003&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=Nx5Lky9d3T_kEHkeavFW_gYxAV0=&channel=rpfic-i24|19.4408931|-99.1683907
305|305|36740.0|3306600|3306600|N/A||90.0|90.0| Tacuba| Miguel Hidalgo|Col. Tacuba, Departamento 104 Nuevo a la Venta en Lago Winnipeg (vm),  Tacuba, Miguel Hidalgo|2.0|2.0|1.0|Diamond House Bienes Raices|https://www.inmuebles24.com/propiedades/col.-tacuba-departamento-104-nuevo-a-la-venta-en-lago-61853064.html|//maps.google.com/maps/api/staticmap?center=19.454206026200001,-99.192452284699996&zoom=16&markers=19.454206026200001,-99.192452284699996&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=QLaJpcnMvBhcfdm8SXOIyXzWfUc=&channel=rpfic-i24|19.4542060262|-99.1924522847
306|306|59016.39344262295|18000000|18000000|N/A|11700.0|305.0|300.0| Bosques de las Lomas| Cuajimalpa de Morelos|Hermoso Depto en Secretaría de Marina 2 Niveles,  Bosques de las Lomas, Cuajimalpa de Morelos|3.0|3.0|3.0|Terramar Consultores Inmobiliarios del Pacifico|https://www.inmuebles24.com/propiedades/departamento-bosques-de-las-lomas-60072513.html|//maps.google.com/maps/api/staticmap?center=19.394039680500000,-99.264969967499993&zoom=16&markers=19.394039680500000,-99.264969967499993&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=iL8BFV_B1LLPNzXTBMocqgSX4To=&channel=rpfic-i24|19.3940396805|-99.2649699675
307|307|54140.12738853503|8500000|8500000|N/A|3000.0|157.0|157.0| Del Valle Centro| Benito Juárez|Heriberto Frías,  Del Valle Centro, Benito Juárez|2.0|2.0|2.0|Property Match|https://www.inmuebles24.com/propiedades/venta-departamento-heriberto-frias-del-valle-61433131.html|//maps.google.com/maps/api/staticmap?center=19.385802900000001,-99.161280700000006&zoom=16&markers=19.385802900000001,-99.161280700000006&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=EnBxU8gykMhdwkyAFt8xzEx4z2U=&channel=rpfic-i24|19.3858029|-99.1612807
308|308|5023.809523809524|1055000|20889000.0|N/A|7117.0|210.0|210.0| Polanco| Miguel Hidalgo|Emerson,  Polanco, Miguel Hidalgo|2.0|3.0|2.0|9 SQUARE REAL STATE|https://www.inmuebles24.com/propiedades/ph-en-venta-renta-polanco-60385812.html|//maps.google.com/maps/api/staticmap?center=19.430889700000001,-99.189239599999993&zoom=16&markers=19.430889700000001,-99.189239599999993&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=KPOm4G9U4_2XKiTVkUrkaxvSvHg=&channel=rpfic-i24|19.4308897|-99.1892396
309|309|41253.968253968254|25990000|25990000|N/A||630.0|540.0| Bosque de las Lomas| Miguel Hidalgo|Bosque de Framboyanes,  Bosque de las Lomas, Miguel Hidalgo|3.0|2.0|4.0|ESTUDIO.inmobiliario|https://www.inmuebles24.com/propiedades/vendo-casa-bosques-de-las-lomas-61669052.html|//maps.google.com/maps/api/staticmap?center=19.401270700000000,-99.251252600000000&zoom=16&markers=19.401270700000000,-99.251252600000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=s_EtNgwVmRCyQL7JEmtSenUoc1Y=&channel=rpfic-i24|19.4012707|-99.2512526
310|310|35000.0|10500000|10500000|N/A|3900.0|300.0|300.0| Bosque de las Lomas| Miguel Hidalgo|BOSQUE DE CANELOS,  Bosque de las Lomas, Miguel Hidalgo|3.0|3.0|2.0|Grupo Epinet, S.A. de C.V.|https://www.inmuebles24.com/propiedades/departamento-en-venta-bosques-de-las-lomas-59739235.html|//maps.google.com/maps/api/staticmap?center=19.387812700000001,-99.257837499999993&zoom=16&markers=19.387812700000001,-99.257837499999993&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=SU9tjas2_dFNM-fmMt3flJl388k=&channel=rpfic-i24|19.3878127|-99.2578375
311|311|2827.3809523809523|950000|18810000.0|N/A|20000.0|336.0|336.0| Bosques de las Lomas| Cuajimalpa de Morelos|¡super Oportunidad! Residencial Vidalta, Departamento a la Venta (mc),  Bosques de las Lomas, Cuajimalpa de Morelos|3.0|3.0|3.0|Diamond House Bienes Raices|https://www.inmuebles24.com/propiedades/residencial-vidalta-departamento-a-la-venta-mc-61967306.html|//maps.google.com/maps/api/staticmap?center=19.393335199999999,-99.260240100000004&zoom=16&markers=19.393335199999999,-99.260240100000004&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=uZu3s9PlpoxQIOw7_vOwAbJI5z8=&channel=rpfic-i24|19.3933352|-99.2602401
312|312||1909760|1909760|N/A||||Peralvillo| Cuauhtémoc|Calzada de Guadalupe , Peralvillo, Cuauhtémoc||||MIRALTUS|https://www.inmuebles24.com/propiedades/habitum-guadalupe-61566027.html|//maps.google.com/maps/api/staticmap?center=19.457478100000000,-99.128191500000000&zoom=16&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=SWj6MFsa66dfLL6FXz8RKtqkLWY=&channel=rpfic-i24|19.4574781|-99.1281915
313|313||4578220|4578220|N/A||||Lomas de Santa Fe| Alvaro Obregón|Av. Prolongación Paseo de la Reforma 291, Lomas de Santa Fe, Alvaro Obregón||||Simetric Grupo Inmobiliario|https://www.inmuebles24.com/propiedades/high-park-reforma-20-enganche-diferido-57057044.html|//maps.google.com/maps/api/staticmap?center=19.368675800000000,-99.266787499999960&zoom=16&markers=19.368675800000000,-99.266787499999960&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=2dRu1wKHTbK5ldvJ0O6oZO2WsjI=&channel=rpfic-i24|19.3686758|-99.26678749999996
314|314||2830000|2830000|N/A||||Granjas Navidad| Cuajimalpa de Morelos|16 DE DICIEMBRE 66, Granjas Navidad, Cuajimalpa de Morelos||||TuDepa.com|https://www.inmuebles24.com/propiedades/depas-en-pre-venta-colonia-granja-navidad-cuajimalpa-60570109.html|//maps.google.com/maps/api/staticmap?center=19.372797200000000,-99.282136999999990&zoom=16&markers=19.372797200000000,-99.282136999999990&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=-MQeR09dxgmCRLIrZ9R23pZELog=&channel=rpfic-i24|19.3727972|-99.282137
